Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1983	1983	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"Unsound Variations"		Amazing Stories	https://en.wikipedia.org//wiki/Amazing_Stories
1983	1983	Delaney, Joseph H.	https://en.wikipedia.org//wiki/Joseph_H._Delaney	Nominated	"Brainchild"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1983	1983	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"To Leave a Mark"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Kessel, John	https://en.wikipedia.org//wiki/John_Kessel	Nominated	"Another Orphan"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Zahn, Timothy	https://en.wikipedia.org//wiki/Timothy_Zahn	Won	"Cascade Point"	https://en.wikipedia.org//w/index.php?title=Cascade_Point&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1984	1984	Bear, Greg	https://en.wikipedia.org//wiki/Greg_Bear	Nominated	"Hardfought"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1984	1984	Delaney, Joseph H.	https://en.wikipedia.org//wiki/Joseph_H._Delaney	Nominated	"In the Face of My Enemy"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1984	1984	Palmer, David R.	https://en.wikipedia.org//wiki/David_R._Palmer	Nominated	"Seeking"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1984	1984	Schenck, Hilbert	https://en.wikipedia.org//wiki/Hilbert_Schenck	Nominated	"Hurricane Claude"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1985	1985	Varley, John	https://en.wikipedia.org//wiki/John_Varley_(author)	Won	"Press Enter ■"	https://en.wikipedia.org//w/index.php?title=Press_Enter&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Brin, David	https://en.wikipedia.org//wiki/David_Brin	Nominated	"Cyclops"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Delaney, Joseph H.	https://en.wikipedia.org//wiki/Joseph_H._Delaney	Nominated	"Valentina"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1985	1985	Stiegler, Marc	https://en.wikipedia.org//wiki/Marc_Stiegler	Nominated	"Valentina"	https://en.wikipedia.org//w/index.php?title=Press_Enter&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
