Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1985	1985	Gould, Steven	https://en.wikipedia.org/wiki/Steven_Gould	Nominated	"Rory"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1986	1986	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Won	"Fermi and Frost"	https://en.wikipedia.org/wiki/Fermi_and_Frost	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Waldrop, Howard	https://en.wikipedia.org/wiki/Howard_Waldrop	Nominated	"Flying Saucer Rock & Roll"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1986	1986	Crowley, John	https://en.wikipedia.org/wiki/John_Crowley	Nominated	"Snow"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1986	1986	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Nominated	"Dinner in Audoghast"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1986	1986	Wu, William F.	https://en.wikipedia.org/wiki/William_F._Wu	Nominated	"Hong's Bluff"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1987	1987	Bear, Greg	https://en.wikipedia.org/wiki/Greg_Bear	Won	"Tangents"	https://en.wikipedia.org/wiki/Tangents_(story)	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1987	1987	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Nominated	"Robot Dreams"	https://en.wikipedia.org/wiki/Robot_Dreams_(Asimov_short_story)	Robot Dreams (Berkley Books)	https://en.wikipedia.org/wiki/Robot_Dreams
1987	1987	Springer, Nancy	https://en.wikipedia.org/wiki/Nancy_Springer	Nominated	"The Boy Who Plaited Manes"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1987	1987	Garnett, David S.	https://en.wikipedia.org/wiki/David_S._Garnett	Nominated	"Still Life"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1987	1987	Kelly, James Patrick	https://en.wikipedia.org/wiki/James_Patrick_Kelly	Nominated	"Rat"	https://en.wikipedia.org/wiki/Rat_(story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1988	1988	Watt-Evans, Lawrence	https://en.wikipedia.org/wiki/Lawrence_Watt-Evans	Won	"Why I Left Harry's All-Night Hamburgers"	https://en.wikipedia.org/wiki/Why_I_Left_Harry%27s_All-Night_Hamburgers	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1988	1988	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"Forever Yours, Anna"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1988	1988	Cadigan, Pat	https://en.wikipedia.org/wiki/Pat_Cadigan	Nominated	"Angel"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1988	1988	Waldrop, Howard	https://en.wikipedia.org/wiki/Howard_Waldrop	Nominated	"Night of the Cooters"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1988	1988	Fowler, Karen Joy	https://en.wikipedia.org/wiki/Karen_Joy_Fowler	Nominated	"The Faithful Companion at Forty"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1988	1988	Goldstein, Lisa	https://en.wikipedia.org/wiki/Lisa_Goldstein	Nominated	"Cassandra's Photographs"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1989	1989	Resnick, Mike	https://en.wikipedia.org/wiki/Mike_Resnick	Won	"Kirinyaga"	https://en.wikipedia.org/wiki/Kirinyaga_(story)	Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1989	1989	Brin, David	https://en.wikipedia.org/wiki/David_Brin	Nominated	"The Giving Plague"	https://en.wikipedia.org/wiki/The_Giving_Plague	Interzone	https://en.wikipedia.org/wiki/Interzone_(magazine)
1989	1989	Landis, Geoffrey A.	https://en.wikipedia.org/wiki/Geoffrey_A._Landis	Nominated	"Ripples in the Dirac Sea"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1989	1989	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Nominated	"Our Neural Chernobyl"		Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1989	1989	Gunn, Eileen	https://en.wikipedia.org/wiki/Eileen_Gunn	Nominated	"Stable Strategies for Middle Management"	https://en.wikipedia.org/wiki/Stable_Strategies_for_Middle_Management	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
