

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1985	1985	Zahn, Timothy	https://en.wikipedia.org//wiki/Timothy_Zahn	Nominated	"Return to the Fold"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1985	1985	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Nominated	"Blued Moon"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Schenck, Hilbert	https://en.wikipedia.org//wiki/Hilbert_Schenck	Nominated	"Silicon Muse"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1985	1985	Vinicoff, Eric		Nominated	"The Weigher"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1985	1985	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Nominated	"Lucky Strike"		Universe #14	https://en.wikipedia.org//wiki/Bantam_Spectra
1986	1986	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Won	"Paladin of the Lost Hour"	https://en.wikipedia.org//wiki/Paladin_of_the_Lost_Hour	Universe #15	https://en.wikipedia.org//wiki/Bantam_Spectra
1986	1986	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	"Portraits of His Children"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1986	1986	Card, Orson Scott	https://en.wikipedia.org//wiki/Orson_Scott_Card	Nominated	"The Fringe"	https://en.wikipedia.org//wiki/The_Fringe_(short_story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1986	1986	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"A Gift from the GrayLanders"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1986	1986	Swanwick, Michael	https://en.wikipedia.org//wiki/Michael_Swanwick	Nominated	"Dogfight"	https://en.wikipedia.org//wiki/Dogfight_(short_story)	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
