Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1983	1983	Gibson, William	https://en.wikipedia.org//wiki/William_Gibson	Nominated	"Burning Chrome"	https://en.wikipedia.org//wiki/Burning_Chrome	Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1983	1983	Russ, Joanna	https://en.wikipedia.org//wiki/Joanna_Russ	Nominated	The Mystery of the Young Gentleman		Speculations (Houghton Mifflin)	https://en.wikipedia.org//wiki/Houghton_Mifflin_Harcourt
1983	1983	Sterling, Bruce	https://en.wikipedia.org//wiki/Bruce_Sterling	Nominated	"Swarm"	https://en.wikipedia.org//wiki/Swarm_(novelette)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Bear, Greg	https://en.wikipedia.org//wiki/Greg_Bear	Won	"Blood Music"	https://en.wikipedia.org//wiki/Blood_Music_(novel)	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1984	1984	Dann, Jack	https://en.wikipedia.org//wiki/Jack_Dann	Nominated	"Blind Shemmy"		Omni	https://en.wikipedia.org//wiki/Omni_(magazine)
1984	1984	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Nominated	The Monkey Treatment		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Robinson, Kim Stanley	https://en.wikipedia.org//wiki/Kim_Stanley_Robinson	Nominated	"Black Air"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Sterling, Bruce	https://en.wikipedia.org//wiki/Bruce_Sterling	Nominated	"Cicada Queen"		Universe 13	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1984	1984	Watson, Ian	https://en.wikipedia.org//wiki/Ian_Watson_(author)	Nominated	"Slow Birds"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1984	1984	Willis, Connie	https://en.wikipedia.org//wiki/Connie_Willis	Nominated	The Sidon in the Mirror		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Butler, Octavia E.	https://en.wikipedia.org//wiki/Octavia_E._Butler	Won	"Bloodchild"	https://en.wikipedia.org//w/index.php?title=Bloodchild_(story)&action=edit&redlink=1	Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
1985	1985	Dann, Jack	https://en.wikipedia.org//wiki/Jack_Dann	Nominated	"Bad Medicine"		Asimov's Science Fiction	https://en.wikipedia.org//wiki/Asimov%27s_Science_Fiction
